iter	Passed	Remaining
0	6	6570
1	15	7846
2	25	8481
3	33	8387
4	41	8308
5	49	8237
6	59	8371
7	66	8299
8	75	8283
9	82	8214
10	90	8174
11	99	8199
12	114	8706
13	122	8645
14	129	8536
15	137	8482
16	145	8412
17	153	8347
18	160	8289
19	167	8231
20	175	8194
21	183	8151
22	191	8122
23	198	8084
24	206	8056
25	213	8016
26	221	7984
27	228	7944
28	236	7914
29	243	7879
30	251	7862
31	258	7832
32	267	7837
33	274	7812
34	283	7813
35	291	7797
36	299	7791
37	306	7761
38	314	7754
39	322	7730
40	331	7753
41	338	7730
42	346	7720
43	354	7700
44	362	7694
45	370	7675
46	378	7667
47	386	7665
48	394	7658
49	402	7646
50	410	7634
51	418	7626
52	425	7608
53	433	7589
54	440	7573
55	448	7556
56	455	7543
57	463	7528
58	471	7521
59	479	7512
60	487	7504
61	495	7491
62	503	7482
63	511	7475
64	518	7463
65	526	7451
66	534	7436
67	541	7424
68	549	7411
69	556	7399
70	564	7385
71	572	7373
72	579	7357
73	587	7349
74	594	7335
75	601	7317
76	609	7306
77	617	7295
78	624	7280
79	632	7271
80	639	7258
81	646	7235
82	653	7223
83	660	7207
84	668	7197
85	675	7183
86	684	7178
87	691	7161
88	698	7145
89	704	7124
90	711	7107
91	718	7087
92	724	7070
93	731	7048
94	738	7030
95	745	7019
96	752	7001
97	759	6988
98	765	6969
99	772	6953
100	779	6939
101	786	6920
102	792	6902
103	798	6882
104	805	6864
105	811	6844
106	817	6825
107	824	6810
108	831	6793
109	837	6777
110	843	6758
111	850	6741
112	856	6724
113	863	6711
114	870	6697
115	876	6683
116	885	6679
117	892	6668
118	898	6655
119	905	6640
120	912	6626
121	919	6615
122	925	6600
123	932	6589
124	939	6574
125	945	6560
126	952	6546
127	959	6533
128	966	6524
129	973	6512
130	980	6502
131	987	6492
132	994	6482
133	1000	6468
134	1007	6456
135	1015	6448
136	1021	6436
137	1029	6428
138	1036	6420
139	1044	6415
140	1051	6406
141	1058	6395
142	1065	6388
143	1073	6380
144	1081	6376
145	1090	6378
146	1097	6371
147	1107	6375
148	1114	6367
149	1123	6364
150	1129	6351
151	1136	6341
152	1143	6330
153	1150	6320
154	1157	6310
155	1163	6296
156	1170	6286
157	1177	6275
158	1184	6264
159	1191	6254
160	1197	6242
161	1205	6234
162	1212	6223
163	1219	6214
164	1225	6202
165	1232	6191
166	1239	6180
167	1246	6171
168	1253	6165
169	1260	6155
170	1268	6151
171	1276	6143
172	1284	6138
173	1291	6130
174	1298	6120
175	1304	6109
176	1311	6099
177	1318	6088
178	1324	6076
179	1331	6067
180	1338	6056
181	1345	6046
182	1351	6034
183	1358	6023
184	1365	6014
185	1371	6003
186	1378	5994
187	1385	5983
188	1392	5974
189	1398	5963
190	1405	5952
191	1412	5943
192	1418	5933
193	1426	5926
194	1432	5915
195	1439	5904
196	1445	5893
197	1452	5884
198	1459	5876
199	1466	5867
200	1474	5860
201	1481	5851
202	1488	5843
203	1495	5833
204	1502	5826
